"backend_id","booth_number","svg_id_to_store","required_svg_element_id"
"1","SE_01","SE_01","SE_01"
"2","SE_02","SE_02","SE_02"
"3","SE_03","SE_03","SE_03"
"4","SE_04","SE_04","SE_04"
"5","SE_05","SE_05","SE_05"
"6","SE_06","SE_06","SE_06"
"7","SE_07","SE_07","SE_07"
"8","SE_08","SE_08","SE_08"
"9","SE_09","SE_09","SE_09"
"10","SE_10","SE_10","SE_10"
"11","SE_11","SE_11","SE_11"
"12","SE_12","SE_12","SE_12"
"13","SE_13","SE_13","SE_13"
"14","SE_14","SE_14","SE_14"
"15","SE_15","SE_15","SE_15"
"16","SE_16","SE_16","SE_16"
"17","SE_17","SE_17","SE_17"
"18","SE_18","SE_18","SE_18"
"19","SE_19","SE_19","SE_19"
"20","SE_20","SE_20","SE_20"
"21","SE_21","SE_21","SE_21"
"22","SE_22","SE_22","SE_22"
"23","SE_23","SE_23","SE_23"
"24","SE_24","SE_24","SE_24"
"25","SE_25","SE_25","SE_25"
"26","SE_26","SE_26","SE_26"
"27","SE_27","SE_27","SE_27"
"28","SE_28","SE_28","SE_28"
"29","SE_29","SE_29","SE_29"
"30","SE_30","SE_30","SE_30"
"31","SE_31","SE_31","SE_31"
"32","SE_32","SE_32","SE_32"
"33","SE_33","SE_33","SE_33"
"34","SE_34","SE_34","SE_34"
"35","SE_35","SE_35","SE_35"
"36","SE_36","SE_36","SE_36"
"37","SE_37","SE_37","SE_37"
"38","SE_38","SE_38","SE_38"
"39","SE_39","SE_39","SE_39"
"40","SE_40","SE_40","SE_40"
"41","SE_41","SE_41","SE_41"
"42","SE_42","SE_42","SE_42"
"43","2C-01","2C-01","2C-01"
"44","2C-02","2C-02","2C-02"
"45","2C-03","2C-03","2C-03"
"46","2C-04","2C-04","2C-04"
"47","2C-05","2C-05","2C-05"
"48","2C-06","2C-06","2C-06"
"49","2C-07","2C-07","2C-07"
"50","2C-08","2C-08","2C-08"
"51","2C-09","2C-09","2C-09"
"52","2C-10","2C-10","2C-10"
"53","2C-11","2C-11","2C-11"
"54","2C-12","2C-12","2C-12"
"55","2C-13","2C-13","2C-13"
"56","2C-14","2C-14","2C-14"
"57","2C-15","2C-15","2C-15"
"58","2C-16","2C-16","2C-16"
"59","2C-17","2C-17","2C-17"
"60","2C-18","2C-18","2C-18"
"61","2C-19","2C-19","2C-19"
"62","2C-20","2C-20","2C-20"
"63","2C-21","2C-21","2C-21"
"64","2C-22","2C-22","2C-22"
"65","2C-23","2C-23","2C-23"
"66","2C-24","2C-24","2C-24"
"67","2C-25","2C-25","2C-25"
"68","2C-26","2C-26","2C-26"
"69","2C-27","2C-27","2C-27"
"70","2C-28","2C-28","2C-28"
"71","2C-29","2C-29","2C-29"
"72","2C-30","2C-30","2C-30"
"73","2C-31","2C-31","2C-31"
"74","2C-32","2C-32","2C-32"
"75","2C-33","2C-33","2C-33"
"76","2C-34","2C-34","2C-34"
"77","2C-35","2C-35","2C-35"
"78","2C-36","2C-36","2C-36"
"79","2C-37","2C-37","2C-37"
"80","2C-38","2C-38","2C-38"
"81","2C-39","2C-39","2C-39"
"82","2C-40","2C-40","2C-40"
"83","10D-01","10D-01","10D-01"
"84","10D-02","10D-02","10D-02"
"85","10D-03","10D-03","10D-03"
"86","10D-04","10D-04","10D-04"
"87","10D-05","10D-05","10D-05"
"88","10D-06","10D-06","10D-06"
"89","10D-07","10D-07","10D-07"
"90","10D-08","10D-08","10D-08"
"91","10D-09","10D-09","10D-09"
"92","10D-10","10D-10","10D-10"
"93","10D-11","10D-11","10D-11"
"94","10D-12","10D-12","10D-12"
"95","10D-13","10D-13","10D-13"
"96","10D-14","10D-14","10D-14"
"97","10D-15","10D-15","10D-15"
"98","10D-16","10D-16","10D-16"
"99","10D-17","10D-17","10D-17"
"100","10D-18","10D-18","10D-18"
"101","10D-19","10D-19","10D-19"
"102","10D-20","10D-20","10D-20"
"103","10D-21","10D-21","10D-21"
"104","10D-22","10D-22","10D-22"
"105","10D-23","10D-23","10D-23"
"106","10D-24","10D-24","10D-24"
"107","10D-25","10D-25","10D-25"
"108","10D-26","10D-26","10D-26"
"109","11F-01","11F-01","11F-01"
"110","11F-02","11F-02","11F-02"
"111","11F-03","11F-03","11F-03"
"112","11F-04","11F-04","11F-04"
"113","11F-05","11F-05","11F-05"
"114","11F-06","11F-06","11F-06"
"115","11F-07","11F-07","11F-07"
"116","11F-08","11F-08","11F-08"
"117","11F-09","11F-09","11F-09"
"118","11F-10","11F-10","11F-10"
"119","11F-11","11F-11","11F-11"
"120","11F-12","11F-12","11F-12"
"121","11F-13","11F-13","11F-13"
"122","11F-14","11F-14","11F-14"
"123","11F-15","11F-15","11F-15"
"124","11F-16","11F-16","11F-16"
"125","11F-17","11F-17","11F-17"
"126","11F-18","11F-18","11F-18"
"127","11F-19","11F-19","11F-19"
"128","11F-20","11F-20","11F-20"
"129","11F-21","11F-21","11F-21"
"130","11F-22","11F-22","11F-22"
"131","11F-23","11F-23","11F-23"
"132","11F-24","11F-24","11F-24"
"133","11F-25","11F-25","11F-25"
"134","11F-26","11F-26","11F-26"
"135","11F-27","11F-27","11F-27"
"136","11F-28","11F-28","11F-28"
"137","11F-29","11F-29","11F-29"
"138","11F-30","11F-30","11F-30"
"139","11F-31","11F-31","11F-31"
"140","11F-32","11F-32","11F-32"
"141","11F-33","11F-33","11F-33"
"142","11F-34","11F-34","11F-34"
"143","11F-35","11F-35","11F-35"
"144","11F-36","11F-36","11F-36"
"145","11F-37","11F-37","11F-37"
"146","11F-38","11F-38","11F-38"
"147","11F-39","11F-39","11F-39"
"148","11F-40","11F-40","11F-40"
"149","25B-01","25B-01","25B-01"
"150","25B-02","25B-02","25B-02"
"151","25B-03","25B-03","25B-03"
"152","25B-04","25B-04","25B-04"
"153","25B-05","25B-05","25B-05"
"154","25B-06","25B-06","25B-06"
"155","25B-07","25B-07","25B-07"
"156","25B-08","25B-08","25B-08"
"157","25B-09","25B-09","25B-09"
"158","25B-10","25B-10","25B-10"
"159","25B-11","25B-11","25B-11"
"160","25B-12","25B-12","25B-12"
"161","25B-13","25B-13","25B-13"
"162","25B-14","25B-14","25B-14"
"163","25B-15","25B-15","25B-15"
"164","25B-16","25B-16","25B-16"
"165","25B-17","25B-17","25B-17"
"166","25B-18","25B-18","25B-18"
"167","25B-19","25B-19","25B-19"
"168","25B-20","25B-20","25B-20"
"169","25B-21","25B-21","25B-21"
"170","25B-22","25B-22","25B-22"
"171","25B-23","25B-23","25B-23"
"172","25B-24","25B-24","25B-24"
"173","25B-25","25B-25","25B-25"
"174","25B-26","25B-26","25B-26"
"175","25B-27","25B-27","25B-27"
"176","25B-28","25B-28","25B-28"
"177","25B-29","25B-29","25B-29"
"178","25B-30","25B-30","25B-30"
"179","25B-31","25B-31","25B-31"
"180","25B-32","25B-32","25B-32"
"181","25B-33","25B-33","25B-33"
"182","25B-33.1","25B-33.1","25B-33.1"
"183","25B-34","25B-34","25B-34"
"184","25B-34.1","25B-34.1","25B-34.1"
"185","25B-35","25B-35","25B-35"
"186","25B-36","25B-36","25B-36"
"187","25B-37","25B-37","25B-37"
"188","25B-38","25B-38","25B-38"
"189","25B-39","25B-39","25B-39"
"190","25B-40","25B-40","25B-40"
"191","25B-41","25B-41","25B-41"
"192","25B-42","25B-42","25B-42"
"193","25B-43","25B-43","25B-43"
"194","25B-44","25B-44","25B-44"
"195","25B-45","25B-45","25B-45"
"196","25B-46","25B-46","25B-46"
"197","25B-47","25B-47","25B-47"
"198","26E-01","26E-01","26E-01"
"199","26E-02","26E-02","26E-02"
"200","26E-03","26E-03","26E-03"
"201","26E-04","26E-04","26E-04"
"202","26E-05","26E-05","26E-05"
"203","26E-06","26E-06","26E-06"
"204","26E-07","26E-07","26E-07"
"205","26E-08","26E-08","26E-08"
"206","26E-09","26E-09","26E-09"
"207","26E-10","26E-10","26E-10"
"208","26E-11","26E-11","26E-11"
"209","26E-12","26E-12","26E-12"
"210","26E-13","26E-13","26E-13"
"211","26E-14","26E-14","26E-14"
"212","26E-15","26E-15","26E-15"
"213","26E-16","26E-16","26E-16"
"214","26E-17","26E-17","26E-17"
"215","26E-18","26E-18","26E-18"
"216","26E-19","26E-19","26E-19"
"217","26E-20","26E-20","26E-20"
"218","26E-21","26E-21","26E-21"
"219","26E-22","26E-22","26E-22"
"220","26E-23","26E-23","26E-23"
"221","26E-24","26E-24","26E-24"
"222","26E-25","26E-25","26E-25"
"223","26E-26","26E-26","26E-26"
"224","26E-27","26E-27","26E-27"
"225","26E-28","26E-28","26E-28"
"226","26E-29","26E-29","26E-29"
"227","26E-30","26E-30","26E-30"
"228","26E-31","26E-31","26E-31"
"229","26E-32","26E-32","26E-32"
"230","26E-32.1","26E-32.1","26E-32.1"
"231","26E-33","26E-33","26E-33"
"232","26E-34","26E-34","26E-34"
"233","26E-35","26E-35","26E-35"
"234","26E-36","26E-36","26E-36"
"235","26E-37","26E-37","26E-37"
"236","26E-38","26E-38","26E-38"
"237","26E-39","26E-39","26E-39"
"238","26E-40","26E-40","26E-40"
"239","26E-41","26E-41","26E-41"
"240","26E-42","26E-42","26E-42"
"241","26E-43","26E-43","26E-43"
"242","26E-44","26E-44","26E-44"
"243","26E-45","26E-45","26E-45"
"244","26E-46","26E-46","26E-46"
"245","26E-47","26E-47","26E-47"
"246","36JD-01","36JD-01","36JD-01"
"247","36JD-02","36JD-02","36JD-02"
"248","36JD-03","36JD-03","36JD-03"
"249","36JD-04","36JD-04","36JD-04"
"250","36JD-05","36JD-05","36JD-05"
"251","36JD-06","36JD-06","36JD-06"
"252","36JD-07","36JD-07","36JD-07"
"253","36JD-08","36JD-08","36JD-08"
"254","36JD-09","36JD-09","36JD-09"
"255","36JD-10","36JD-10","36JD-10"
"256","36JD-11","36JD-11","36JD-11"
"257","36JD-12","36JD-12","36JD-12"
"258","36JD-13","36JD-13","36JD-13"
"259","36JD-14","36JD-14","36JD-14"
"260","36JD-15","36JD-15","36JD-15"
"261","36JD-16","36JD-16","36JD-16"
"262","36JD-17","36JD-17","36JD-17"
"263","36JD-18","36JD-18","36JD-18"
"264","36JD-19","36JD-19","36JD-19"
"265","36JD-20","36JD-20","36JD-20"
"266","36JD-21","36JD-21","36JD-21"
"267","36JD-22","36JD-22","36JD-22"
"268","36JD-23","36JD-23","36JD-23"
"269","36JD-24","36JD-24","36JD-24"
"270","36JD-25","36JD-25","36JD-25"
"271","36JD-26","36JD-26","36JD-26"
"272","36JD-27","36JD-27","36JD-27"
"273","36JD-28","36JD-28","36JD-28"
"274","7P-01","7P-01","7P-01"
"275","7P-02","7P-02","7P-02"
"276","7P-03","7P-03","7P-03"
"277","7P-04","7P-04","7P-04"
"278","7P-05","7P-05","7P-05"
"279","7P-06","7P-06","7P-06"
"280","7P-07","7P-07","7P-07"
"281","7P-08","7P-08","7P-08"
"282","7P-09","7P-09","7P-09"
"283","7P-10","7P-10","7P-10"
"284","7P-11","7P-11","7P-11"
"285","7P-12","7P-12","7P-12"
"286","7P-13","7P-13","7P-13"
"287","7P-14","7P-14","7P-14"
"288","7P-15","7P-15","7P-15"
"289","7P-16","7P-16","7P-16"
"290","7P-17","7P-17","7P-17"
"291","7P-18","7P-18","7P-18"
"292","7P-19","7P-19","7P-19"
"293","7P-20","7P-20","7P-20"
"294","7P-21","7P-21","7P-21"
"295","7P-22","7P-22","7P-22"
"296","7P-23","7P-23","7P-23"
"297","7P-24","7P-24","7P-24"
"298","7P-25","7P-25","7P-25"
"299","7P-26","7P-26","7P-26"
"300","7P-27","7P-27","7P-27"
