svg_group_id,svg_layer_label,is_booth_group,safe_for_backend_svg_id
layer-oc1,hatches,false,false
layer-oc2,DIM LO,false,false
layer-oc3,AREA-LO,false,false
layer-oc4,CODES-LO,false,false
layer-oc5,PLAN,false,false
layer-oc6,0,false,false
layer-oc7,AG-Technical Area,false,false
layer-oc8,Stand No,false,false
layer-oc9,text,false,false
layer-oc10,PLAN 0,false,false
layer-oc11,PDF2_PDF_0,false,false
layer-oc12,new parts,false,false
layer-oc13,Layer1,false,false
layer-oc14,Plan in,false,false
layer-oc15,Plan out,false,false
layer-oc16,M2,false,false
layer-oc17,PDF_0,false,false
layer-oc18,PDF_stand IN,false,false
layer-oc19,stand IN,false,false
layer-oc20,PDF_Layer 1,false,false
